65    ,    0.533333333    1.959873276    238.3337036    42.22781526    19.6138308    20.87215853    ;
66    ,    0.541666667    0.711367807    223.5092124    42.22781526    19.8785436    20.90889315    ;
67    ,    0.55    2.123047438    241.9915773    42.22781526    19.6138308    20.90889315    ;
68    ,    0.558333333    0.776013938    230.8429153    42.22781526    19.7461872    20.89051704    ;
69    ,    0.566666667    1.621994418    232.8505402    42.22781526    19.7461872    20.90889315    ;
70    ,    0.575    1.053475657    237.3344957    42.22781526    19.6138308    20.87215853    ;
71    ,    0.583333333    1.805986702    230.3553719    42.22781526    19.8785436    20.9272869    ;
72    ,    0.591666667    1.588677383    234.3942188    42.22781526    19.6138308    20.87215853    ;
73    ,    0.6    1.577261595    227.100036    42.22781526    19.8785436    20.9272869    ;
74    ,    0.608333333    1.553886318    246.0848765    42.22781526    19.4814744    20.87215853    ;
75    ,    0.616666667    2.01335444    235.296306    42.22781526    19.7461872    20.90889315    ;
76    ,    0.625    1.377881995    237.6212718    42.22781526    19.6138308    20.90889315    ;
77    ,    0.633333333    2.33894398    227.5316145    42.22781526    19.8785436    20.90889315    ;
78    ,    0.641666667    1.432961158    237.1924523    42.22781526    19.6138308    20.89051704    ;
79    ,    0.65    2.486111785    227.0432066    42.22781526    19.8785436    20.90889315    ;
80    ,    0.658333333    1.552729537    240.0074694    42.22781526    19.6138308    20.90889315    ;
81    ,    0.666666667    1.945248584    228.7690684    42.22781526    19.8785436    20.94569831    ;
82    ,    0.675    1.698148516    237.1058327    42.22781526    19.6138308    20.90889315    ;
83    ,    0.683333333    2.556312988    227.588105    42.22781526    19.8785436    20.90889315    ;
84    ,    0.691666667    1.831577028    251.0107855    42.22781526    19.4814744    20.9272869    ;
85    ,    0.7    2.256634038    234.0339428    42.22781526    19.7461872    20.94569831    ;
86    ,    0.708333333    1.997918763    248.7615464    42.22781526    19.4814744    20.90889315    ;
87    ,    0.716666667    2.702102981    227.4559449    42.22781526    19.8785436    20.9272869    ;
88    ,    0.725    2.040657447    247.2219273    42.22781526    19.4814744    20.90889315    ;
